"Entity";"Code";"Year";"tasahomicidio";"inflacion"
"Albania";"ALB";2021;2,3119686;2,0414717
"Algeria";"DZA";2021;1,5731823;7,2260633
"Antigua and Barbuda";"ATG";2021;17,163792;2,0629964
"Armenia";"ARM";2021;2,1856172;7,1848364
"Australia";"AUS";2021;0,74456745;2,8639104
"Austria";"AUT";2021;0,7285295;2,7666667
"Azerbaijan";"AZE";2021;1,9102119;6,650299
"Bahamas";"BHS";2021;29,173424;2,9049127
"Bahrain";"BHR";2021;0,068340294;-0,60631937
"Belgium";"BEL";2021;1,0765264;2,4402485
"Belize";"BLZ";2021;31,247578;3,2356367
"Bolivia";"BOL";2021;3,4935303;0,7373837
"Botswana";"BWA";2021;10,546963;7,240978
"Bulgaria";"BGR";2021;1,2779799;3,2977443
"Canada";"CAN";2021;2,0652595;3,395193
"Chile";"CHL";2021;3,6320386;4,5245686
"Colombia";"COL";2021;27,484365;3,4950576
"Costa Rica";"CRI";2021;11,40871;1,7264775
"Croatia";"HRV";2021;0,81278074;2,554507
"Cyprus";"CYP";2021;1,2859793;2,4460888
"Czechia";"CZE";2021;0,44716123;3,839845
"Denmark";"DNK";2021;0,80283684;1,8530455
"Dominican Republic";"DOM";2021;10,541584;8,243004
"Ecuador";"ECU";2021;14,024255;0,13325138
"El Salvador";"SLV";2021;18,165499;3,4669259
"Estonia";"EST";2021;1,9567984;4,653167
"France";"FRA";2021;1,13743;1,6423314
"Germany";"DEU";2021;0,83324784;3,0666666
"Ghana";"GHA";2021;1,8365651;9,971088
"Greece";"GRC";2021;0,85205257;1,223825
"Grenada";"GRD";2021;4,012519;1,219512
"Guatemala";"GTM";2021;19,990364;4,261051
"Guyana";"GUY";2021;16,28205;5,0328555
"Haiti";"HTI";2021;13,007129;16,841524
"Honduras";"HND";2021;38,245457;4,48088
"Hong Kong";"HKG";2021;0,30688852;1,5687584
"Hungary";"HUN";2021;0,7724166;5,1109653
"Iceland";"ISL";2021;0,5400516;4,4442396
"India";"IND";2021;2,9362788;5,1314073
"Ireland";"IRL";2021;0,4411889;2,3581429
"Israel";"ISR";2021;1,9438074;1,5102005
"Italy";"ITA";2021;0,51147586;1,8737832
"Jamaica";"JAM";2021;52,127274;5,8627825
"Japan";"JPN";2021;0,22870894;-0,23335278
"Jordan";"JOR";2021;1,0225796;1,3460938
"Kenya";"KEN";2021;5,274913;6,110909
"Kosovo";"OWID_KOS";2021;1,9855483;3,3536913
"Latvia";"LVA";2021;3,0417538;3,2758293
"Lithuania";"LTU";2021;2,5837471;4,683544
"Luxembourg";"LUX";2021;0,6256638;2,52692
"Macao";"MAC";2021;0,43693116;0,026454365
"Malaysia";"MYS";2021;0,72377706;2,4771025
"Malta";"MLT";2021;0,3796882;1,4978921
"Mauritius";"MUS";2021;2,6175704;4,0285287
"Mexico";"MEX";2021;28,175653;5,6892085
"Mongolia";"MNG";2021;6,153327;7,3528123
"Montenegro";"MNE";2021;2,3890734;2,410802
"Morocco";"MAR";2021;1,9311379;1,4019588
"Namibia";"NAM";2021;12,449852;3,6169052
"Netherlands";"NLD";2021;0,65136546;2,67572
"Nicaragua";"NIC";2021;11,006432;4,928414
"Norway";"NOR";2021;0,5367368;3,4838805
"Oman";"OMN";2021;0,24333748;1,546637
"Pakistan";"PAK";2021;3,9787881;9,49621
"Palestine";"PSE";2021;0,8766134;1,237481
"Panama";"PAN";2021;12,639997;1,6307033
"Paraguay";"PRY";2021;7,8313804;4,787983
"Poland";"POL";2021;0,71265;5,055027
"Portugal";"PRT";2021;0,7968822;1,2656572
"Qatar";"QAT";2021;0,33479217;2,3044658
"Romania";"ROU";2021;1,2623806;5,0523286
"Russia";"RUS";2021;6,7993197;6,694459
"Saint Kitts and Nevis";"KNA";2021;29,40775;1,1956888
"Saint Lucia";"LCA";2021;38,96433;2,4107032
"Saint Vincent and the Grenadines";"VCT";2021;30,671318;1,5727293
"Serbia";"SRB";2021;1,0552616;4,085103
"Singapore";"SGP";2021;0,10099207;2,3048596
"Slovakia";"SVK";2021;1,0096148;3,1496062
"Slovenia";"SVN";2021;0,4246466;1,917065
"South Africa";"ZAF";2021;41,865726;4,6116724
"South Korea";"KOR";2021;0,52093244;2,4983332
"Spain";"ESP";2021;0,6106943;3,093135
"Suriname";"SUR";2021;5,7097692;59,119663
"Sweden";"SWE";2021;1,0795734;2,1631973
"Switzerland";"CHE";2021;0,48323596;0,58181417
"Trinidad and Tobago";"TTO";2021;29,364283;2,0592275
"Turkey";"TUR";2021;2,5195987;19,596493
"Uganda";"UGA";2021;8,531467;2,204572
"Ukraine";"UKR";2021;3,843201;9,363139
"United Arab Emirates";"ARE";2021;0,46982723;-0,013859944
"United States";"USA";2021;6,8074665;4,697859
"Uruguay";"URY";2021;8,901836;7,747914
"Uzbekistan";"UZB";2021;1,4054567;10,849239
"World";"OWID_WRL";2021;5,791921;3,4669259
"Zimbabwe";"ZWE";2021;6,139985;98,546104
